Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,11,231313,27,357,280813,3110074,4
2,14,445193,42,504,428435,5533346,2
1,5,287155,30,350,681960,4449525,3
2,7,152831,35,129,519270,2387129,15
2,15,398265,30,495,1194765,900840,8
2,22,818972,99,627,1698554,953524,10
1,4,162340,20,144,585328,3553472,4
1,5,247370,45,265,753290,2638635,13
3,37,793403,86,801,1191178,10417979,2
2,17,240660,51,59,1065024,7839635,11
3,37,678123,74,555,740666,3938909,4
2,8,106780,40,264,698976,1376872,7
3,26,273069,69,312,1177028,7874802,13
3,26,632294,52,130,1008930,879606,5
2,19,270408,76,199,1733227,7463352,11
3,26,384176,8,346,883419,3136146,10
3,35,609816,70,1166,796588,10589168,14
2,20,459960,100,460,658050,9921030,8
3,27,551556,18,792,718479,7449417,8
3,26,514401,52,589,1629012,6136494,10
2,13,378618,45,279,1014487,1732731,2
1,1,46549,5,38,108683,224360,8
3,30,335190,40,330,1263560,9303130,12
1,6,443124,6,162,1192602,3782268,8
1,4,164632,32,320,333788,3842472,3
2,12,206880,18,234,917868,4357842,1
2,10,274145,35,480,480690,1689635,9
3,31,324828,93,186,2024341,666086,2
2,12,267264,12,66,945780,523026,9
2,22,302368,99,726,1667347,5552899,7
3,31,415296,82,775,1544244,1331822,13
1,2,135944,10,10,293840,710864,9
3,38,651598,63,747,930949,3605123,13
3,31,536796,93,516,1537114,8231202,3
2,15,392137,52,412,725827,751717,5
3,25,303425,33,200,1435833,597550,7
2,7,201764,10,304,535622,2111210,15
3,26,195242,52,728,1051362,6076174,11
2,20,474370,90,730,1900700,5207240,10
1,1,68699,9,86,135531,563553,7
3,32,221461,85,10,1520192,2707008,4
2,23,494350,23,310,1568071,2976798,3
2,20,678820,60,710,1184950,6096160,5
2,22,723679,66,990,1836417,1613084,5
2,7,210304,7,108,420927,1823153,11
1,4,177920,28,308,590852,2592564,7
3,27,211905,36,45,1358415,5838093,14
2,18,672606,18,684,1671561,1751337,5
3,31,402369,20,961,779381,5219294,13
3,26,635570,78,8,1467535,2965932,3
3,33,637076,44,1012,1194094,5656805,11
3,33,403579,11,858,1104356,2546126,10
1,2,88862,14,146,304992,119534,12
3,29,310396,29,522,1426017,3155838,9
3,30,225800,40,820,657100,5893830,7
2,21,751222,21,157,778218,1729497,13
3,28,597193,74,448,911288,8834896,2
2,21,396165,10,178,1135848,9848149,9
2,23,552368,34,92,763117,7338805,15
3,31,365665,41,444,1381732,6974648,12
2,7,141211,31,329,384555,2015874,12
3,36,861096,120,708,1157628,10586736,13
1,3,174321,6,102,329874,1387965,5
3,37,830576,12,246,732513,9707394,12
2,11,126280,27,528,869946,3511227,8
3,28,483737,93,186,1267868,8998397,7
3,37,638657,12,98,1824408,1205423,10
2,9,246379,36,346,323082,3062245,4
2,9,274198,27,301,231043,3408822,14
3,25,405708,50,75,662675,1064725,1
3,34,352625,90,22,854159,5038879,9
3,32,580885,10,74,830592,6131872,4
3,29,487896,87,850,668701,5338503,5
3,38,503728,25,114,2320457,9178608,3
3,29,701278,9,783,937705,3380752,7
3,35,491971,105,58,990196,7423966,2
1,3,215427,24,126,451773,1787808,5
2,13,146952,52,6,998536,4188340,15
2,22,327118,11,638,713801,9918623,4
1,4,230424,4,376,305356,2276292,4
3,33,561176,22,264,1979472,587609,1
1,2,100836,14,124,398846,368608,10
3,39,339066,26,520,658151,1825187,4
2,17,461448,51,765,955629,1983611,5
3,39,563862,104,1014,1248312,3143920,3
3,36,759240,84,1008,1658496,7837620,14
1,6,374040,30,438,908580,1522374,15
1,4,249356,12,204,367568,1869380,1
3,32,258357,74,426,1349056,1214378,6
2,20,331890,40,10,551600,7201700,13
2,10,315870,5,410,619895,1257840,2
2,24,613164,24,780,1551804,4479516,13
2,19,468036,47,836,720698,3815485,14
3,35,376903,46,151,1803176,8945988,3
2,15,411030,60,292,1156845,3087427,12
3,38,590114,12,63,2140299,8684862,3
2,23,520835,11,943,1528637,10801582,10
2,15,509857,45,157,1004182,1861342,11
1,1,56190,5,94,61432,579378,6
3,26,481468,26,511,1175850,1661330,11
3,37,908892,86,912,672647,8314640,4
2,10,202240,10,135,675245,520165,15
2,7,147007,17,287,291420,915372,13
3,28,450762,65,662,752602,3395494,13
1,5,138240,35,30,459600,528470,1
3,29,595669,29,58,1447409,4350009,1
1,4,247620,40,360,241052,1310044,2
2,22,623447,22,462,1962136,1642586,8
2,14,479283,49,203,1040851,6878284,13
3,38,927884,126,1013,2120716,12326756,5
2,13,257289,65,104,1097096,2136920,7
3,31,216431,20,620,665735,9149867,7
2,9,244629,9,292,718452,476793,8
3,33,721270,77,968,684926,6515553,7
2,12,230526,54,180,931740,4296504,15
1,5,345320,50,415,653110,2560340,12
1,4,284644,32,172,214780,2844444,1
2,14,499919,28,679,968443,5567590,6
3,39,491049,78,754,2180958,11381032,9
2,12,184428,54,192,547416,3571284,7
3,37,567728,74,357,1573955,5533892,2
3,37,710634,49,518,2157852,7245845,2
2,21,699541,105,651,567420,5862391,10
2,22,735295,22,198,916124,3487583,15
2,14,452627,70,252,789922,6706413,11
3,30,670850,40,900,1765250,1995730,6
3,28,501956,84,662,1721020,1686262,2
2,17,207986,42,722,954575,8001067,10
3,39,326105,52,923,1334346,3484936,8
3,35,807286,46,1003,887891,9515356,13
2,21,723933,52,31,840399,5858622,11
2,11,120246,5,313,1052282,1134540,13
3,32,245194,64,405,970549,1353322,3
1,3,74217,27,30,521055,246924,7
2,17,511368,68,433,1534666,6859270,3
2,23,240396,23,943,2074082,6008416,14
2,20,633630,40,720,1613510,7235110,4
3,31,455400,82,361,2047508,747885,7
1,4,267500,4,172,284468,1742540,7
3,32,707050,53,170,1169013,6791914,14
1,1,65644,5,71,168222,786326,8
2,9,284445,40,4,228748,956331,7
2,16,180576,24,712,960912,6261664,2
2,22,405394,11,1001,1351097,3076227,4
1,1,37274,5,92,171020,422245,8
2,7,186144,21,31,430104,2653707,10
1,6,449490,42,492,1130004,469134,4
3,29,374506,58,338,1797101,3562833,2
2,14,489566,14,259,905478,2498580,4
2,11,390478,16,258,489175,5314947,6
3,27,360846,9,189,1510758,1447020,6
3,35,553700,116,140,1595008,7400341,13
2,8,190868,32,188,429812,595160,8
3,37,733475,49,851,1164908,5911909,2
3,25,300383,8,25,976125,8119533,14
2,11,309567,55,231,387904,5069179,1
3,26,315466,34,372,798356,5694251,9
2,21,743799,94,189,1395198,1778794,12
1,1,43035,9,40,57025,348351,3
2,22,649935,77,671,1778689,5250751,3
2,15,221587,75,720,1452390,6583207,3
2,18,258183,27,144,792936,3590694,2
2,16,397616,80,464,888768,1237864,10
3,38,686837,76,620,2345790,6124941,14
3,27,553581,9,441,1172106,1729827,12
2,8,268004,32,100,448060,1818784,8
1,3,94341,27,183,158574,1842747,4
3,37,616000,111,1208,1139698,4288361,6
3,33,666655,66,165,644534,1523214,11
2,21,280381,84,693,667894,9950272,6
2,23,760299,23,460,1068591,8785540,2
2,12,308052,42,378,435816,2216544,7
3,35,826198,70,560,1820431,8336790,5
3,36,332076,96,840,774372,11739144,15
2,23,719037,57,931,1238101,1044545,10
3,36,666672,24,708,2059476,7380372,6
2,23,820663,23,621,2253379,9277751,5
2,13,398502,58,227,906639,3157011,11
2,14,201656,7,217,388528,1987076,8
3,35,288901,23,991,1065995,7409978,4
1,6,415704,48,564,873420,4213632,10
2,19,361456,38,95,1412963,4626006,8
3,31,222208,103,186,785209,5540227,8
3,27,285840,54,774,1718379,3387609,9
1,3,200760,24,228,349371,2382621,6
3,40,745853,120,1240,1163280,10717253,5
3,27,409653,18,765,536364,8859762,11
2,10,174725,5,415,530025,3403410,11
2,19,671773,38,256,784823,958417,5
2,21,495999,63,588,807838,4794310,6
3,33,744392,55,935,683969,3409395,4
2,17,441702,25,705,628320,6940539,1
1,3,109752,30,87,275718,2397492,15
3,40,707613,106,133,1312480,7748173,9
3,40,973386,66,133,2308986,12846746,15
2,8,281296,28,168,639456,1397896,9
3,28,593376,46,466,652670,5117970,8
3,33,355751,33,759,952325,5333086,7
2,21,604558,94,472,1705756,3373713,1
2,22,423005,88,209,993641,9538210,7
2,21,666277,10,252,1006351,534891,15
2,22,496166,55,957,1383503,8051659,9
1,6,215988,30,6,417006,4455282,4
2,17,533273,8,357,971125,4837001,6
1,4,257844,28,368,774172,2848536,4
2,22,775973,55,946,1567940,3250940,8
2,17,273147,34,782,1396558,1600057,6
1,4,286708,8,40,466664,1633740,6
2,9,261342,4,153,505831,3138804,3
2,18,362016,27,648,642843,6076044,13
1,2,139326,10,68,260218,1348174,6
2,16,407992,80,72,430232,3479480,4
2,18,659745,72,837,1026621,7524486,11
1,4,251960,8,336,730264,901640,1
3,29,707194,48,937,1827328,6737792,14
1,6,334284,42,180,645402,3902784,14
2,20,426680,90,330,502680,4766990,14
3,37,644416,24,1097,1107015,3386844,10
3,27,589671,45,450,1652544,4110507,9
3,31,577984,51,1023,1329435,7193498,14
2,10,360910,45,325,565255,3158395,4
3,26,214170,78,173,1100918,5675470,7
3,25,275058,33,158,1561108,2509308,13
3,29,477108,29,203,581324,5923578,9
2,7,227125,14,35,652589,1107921,11
3,37,276377,61,123,642443,2601531,10
2,18,269307,27,828,998145,8364465,8
2,16,187448,16,520,1430152,5477496,7
2,7,96351,24,203,634546,2455533,15
3,26,393804,8,251,1492530,1607874,10
2,8,238952,24,248,633920,3866664,13
2,19,428146,76,304,864642,5976934,2
3,28,273793,74,802,1466388,8467610,14
1,2,115002,16,38,214332,604998,7
1,6,193074,42,582,688884,1543752,13
3,40,383786,53,560,739440,10981493,11
3,26,426122,78,676,758966,4297730,5
3,35,440591,11,338,1786831,2085626,14
3,39,550186,104,1079,1363778,2496819,7
2,13,262899,32,208,668148,5256712,12
1,6,415218,42,222,358872,5899356,11
2,19,213788,47,370,1183415,7942247,5
3,31,515158,41,82,747937,3083084,5
3,34,494813,56,589,1400052,10824444,10
1,6,298074,54,108,1071036,950484,15
3,33,634975,55,264,1417273,4468178,13
1,6,402072,42,210,739308,4435998,1
2,21,472636,42,283,1770856,8151444,9
3,26,348200,26,754,1020812,4270543,9
2,22,777854,99,792,2147365,9134092,8
3,33,690613,66,55,1698554,2412872,13
2,8,281280,28,44,333272,2886612,9
3,38,641997,12,25,1404214,9510716,11
2,11,285967,11,60,932871,4306516,14
2,13,388160,65,578,1127808,3817053,5
3,27,581004,18,252,965034,3260142,10
3,30,445300,10,290,1212330,5340590,12
3,40,662560,133,653,2318360,1149026,6
3,25,187675,83,825,1274425,3744041,11
1,5,161745,30,400,577815,3492510,8
2,17,237311,42,408,1312366,7913814,7
3,39,734760,65,728,1704469,1869790,14
2,12,134316,12,594,879726,1278612,7
1,6,263226,42,528,834480,3387504,9
3,31,295533,103,868,1304325,6188695,3
3,27,372402,72,306,874503,8009442,14
2,7,194565,14,150,366590,2688227,14
1,3,82797,9,228,432030,716484,11
2,17,579394,25,578,925318,628252,13
3,25,407608,66,425,631891,1190316,14
3,32,500480,85,864,2116384,10470816,6
2,13,184476,58,104,1230047,1097674,11
2,7,102697,24,346,480361,1159263,4
3,27,509328,72,153,1566810,4528584,4
1,6,146304,36,330,1056420,5685888,1
2,10,304055,45,30,586840,3770665,9
2,7,142464,21,147,377468,1172006,6
3,33,817850,88,935,1768712,9541631,3
1,5,234315,25,355,979495,4333025,9
1,6,380616,60,354,623796,3398160,8
3,36,529116,120,744,1542276,9979320,15
3,30,272750,70,560,1413980,837150,12
2,15,287347,45,60,1214070,1765755,12
1,2,139454,16,132,106068,1640906,1
2,13,190489,45,572,429799,3532737,15
3,28,535033,93,177,1615516,3581414,6
2,24,318420,24,72,1355364,9970296,4
3,29,393655,48,908,1255352,7144536,1
3,31,507532,103,217,886589,4062880,12
1,2,80524,14,50,356254,182334,2
3,40,309760,66,386,1948706,4210160,8
3,33,516923,99,550,1049301,5159583,10
2,10,237360,50,315,743790,297225,8
3,29,278245,77,783,1669462,9665622,11
2,23,300656,80,345,1291691,4018341,9
1,4,245608,16,112,473804,949808,6
2,22,739728,99,726,954151,2896960,1
2,20,248930,80,160,1394750,3906420,4
2,17,522461,34,314,705772,4867941,14
2,8,138444,12,200,295032,540440,15
2,19,708880,57,38,824258,7664077,1
3,38,935636,50,443,2297847,12076134,4
3,25,467483,58,650,535766,1880708,15
3,33,765886,44,11,1650319,10426647,5
3,36,625860,48,684,1160772,2794296,3
3,27,610182,9,270,744525,3087621,12
2,14,470246,7,574,848372,5370022,1
1,3,103299,27,117,405486,1331520,11
3,36,594708,96,792,1658688,5084712,8
3,38,582730,38,1102,2364562,9724643,15
1,3,66294,24,300,304569,601431,7
2,20,471640,10,150,1677840,2731320,14
1,3,76536,24,189,249270,1225872,15
3,29,459891,77,937,1506192,1342410,3
2,23,631764,46,724,2002173,7952169,3
2,13,231608,32,292,1226816,3420768,1
2,14,401562,63,301,1316567,4473868,1
3,32,255701,96,106,2027701,8209141,12
3,39,437190,26,559,1237886,12680655,1
2,17,618086,25,204,980679,5272346,5
2,17,560294,17,569,1168393,2729520,12
2,14,291039,70,392,1286390,4286821,8
3,31,210593,62,899,953694,5222714,3
3,33,512919,66,528,1527174,7863603,7
2,24,458148,36,480,1657764,3530964,13
2,8,227748,20,360,407036,3923144,1
3,36,303132,60,60,1466748,8920056,11
2,17,525665,76,382,1337271,6677226,13
2,19,375269,95,475,508620,3972748,5
3,38,781660,88,937,1680993,12000032,8
2,12,406452,54,144,372510,5710410,12
3,40,415880,93,80,2087640,12174013,12
3,34,244596,68,612,977228,6484038,7
3,31,273306,82,10,1828876,8775573,8
3,26,444652,60,442,776334,5367916,9
2,11,290180,22,324,652822,4527358,14
3,32,227808,32,533,2131392,6061002,6
3,25,213783,50,325,1023466,4580358,11
2,14,439047,56,378,737646,3092054,4
1,4,144188,40,176,223884,3999268,9
2,21,292593,94,52,1221465,6567540,2
3,36,488508,48,1008,2019360,4177380,9
2,24,250032,48,168,1219740,651972,14
2,8,269228,36,52,494860,1567068,1
2,24,297780,36,192,1630464,4081992,7
2,20,650980,90,420,508810,6280400,4
3,40,737373,93,666,2302733,9960480,7
3,31,563456,103,20,1257484,7487264,9
2,11,336814,22,462,435248,5163394,12
2,20,293420,30,90,1366230,6770100,11
2,17,457835,51,518,700978,7950313,6
2,19,216030,57,636,910746,935940,9
2,17,204323,68,527,852618,2051322,3
3,36,404028,60,744,1302696,5570124,6
3,28,671972,65,308,1735038,2671554,9
2,24,389808,96,420,1355844,4971240,8
3,31,612157,62,165,782223,2140529,11
2,20,380390,60,430,1714730,3761740,1
2,15,543150,22,435,965865,4351747,4
1,6,130284,24,138,508002,3532680,6
2,10,359720,20,35,941770,3509585,13
2,17,323578,68,68,1552618,8172707,11
3,31,437358,93,289,916814,3553354,4
3,32,364192,64,64,635082,10654880,3
2,8,166532,24,340,267972,3910984,13
2,20,251610,100,320,1712540,7188650,9
3,27,213309,63,288,820494,7555698,12
3,25,172775,8,466,1444500,2325233,3
2,12,159234,42,78,793248,3991596,14
3,32,311861,32,416,805898,5852458,10
2,16,553504,72,144,748144,6588880,11
1,5,353830,10,220,772030,1362190,1
2,21,245899,73,609,1077373,4231101,7
3,31,257093,41,847,961062,2179444,1
3,33,700095,33,11,981728,4838702,6
3,37,727148,12,937,2383762,5123291,13
2,13,209748,65,591,967882,3418974,10
1,6,302400,30,390,605772,2529588,9
3,34,607886,45,997,2161085,5143044,14
3,26,331274,8,459,1401226,8595409,9
3,36,756840,60,516,1170888,7569240,9
2,22,425359,88,572,570779,6867135,10
2,7,256760,31,101,182416,2259943,7
2,21,303754,31,766,859099,5035852,7
2,16,527192,24,168,1523672,6978008,5
2,20,669640,80,240,802920,2951690,8
2,24,841092,120,1020,1664904,8058912,6
2,22,456896,110,55,996270,7661995,7
3,30,444110,10,870,594060,5791120,13
2,20,682050,80,670,1941000,6929890,3
3,39,295698,130,1118,1290146,1602575,8
3,27,211104,36,864,1485351,4438620,12
2,20,605980,20,600,1842030,6137440,13
2,10,111765,10,70,600925,2006315,9
2,18,404343,72,441,1449432,7094565,1
2,11,246790,11,517,658454,1408225,2
2,24,390288,84,192,1171644,10777536,11
1,5,178885,25,395,768400,2961710,7
3,39,283075,52,390,699816,11003278,4
1,2,138074,18,122,114970,1474798,8
2,16,246992,8,712,894912,6753560,14
2,20,229230,70,910,1311810,2874380,5
3,34,839199,45,487,1866203,8958988,1
3,30,568920,10,950,1960060,1708690,11
1,4,220320,36,36,784140,2926600,6
2,8,121048,16,264,703628,1378856,1
2,11,149831,49,143,526548,5248050,11
3,29,426116,67,821,924636,3200652,4
2,19,610270,9,902,673873,1054870,13
2,9,165177,4,63,764680,4355037,15
1,2,68242,16,14,319890,549648,11
3,30,331420,10,770,850470,2786580,3
3,30,209680,30,920,1920650,9396680,4
3,26,178481,8,173,1306179,5595260,6
3,34,777126,79,838,2186744,3077906,15
3,27,597474,45,225,1324575,5539833,6
1,4,266652,24,160,459232,1395656,6
2,9,300402,4,283,674518,2351605,11
2,21,618586,21,304,1199520,1011150,7
2,24,814104,36,1176,1183380,4447656,4
3,30,554590,60,730,1604400,7667460,14
3,31,635717,41,826,1469999,9757508,3
3,34,579439,102,306,748600,1149540,5
1,3,183726,12,111,531678,1750944,11
2,20,708600,40,500,830550,1270320,15
2,13,466706,19,32,351481,2804626,1
3,33,322575,66,924,1653872,6370309,3
2,22,434885,11,341,609939,8484113,3
2,12,185040,54,114,746928,4955730,7
2,23,471948,103,529,738346,10107131,1
2,15,444915,22,667,685897,7426275,6
3,38,315096,25,544,2186064,10113877,14
2,8,246436,40,320,271288,1812376,8
3,29,575389,58,734,1363783,9236906,13
3,35,517230,93,688,646578,2394116,8
3,40,549186,106,800,2495826,8687560,7
2,14,169029,70,98,531790,3824324,13
3,34,822403,90,238,1620610,2094400,8
3,25,169958,83,108,958075,3070733,11
3,34,419730,45,476,933798,8394702,8
2,18,353844,18,414,1676754,2510010,2
2,8,290508,24,164,745980,3700976,6
2,15,309390,7,600,1475220,4341540,1
3,33,290400,55,803,1613535,8519698,5
2,10,137115,45,160,348155,428900,15
2,22,481712,33,946,2153811,6870182,3
3,30,228480,50,330,619070,6213590,10
2,21,765943,10,1029,1627605,5076781,11
3,36,630204,12,1128,1998204,6971892,9
3,26,619233,43,511,1032226,2741682,11
2,12,425184,18,54,703572,4017972,8
2,24,443460,96,540,1557048,3472332,2
1,5,321615,40,115,675715,4036135,2
3,34,578884,56,668,1722712,3509854,8
1,1,37636,3,67,111833,912599,12
1,5,337025,50,450,775360,1287120,11
2,15,528660,75,727,1240837,6944970,4
2,16,371480,80,120,444056,3913624,10
1,1,55939,2,14,194744,456112,8
2,16,510520,56,736,1009824,3341456,11
2,21,691950,63,252,1617861,3919261,5
2,24,562692,12,1176,1648032,11289192,7
2,15,485272,30,45,1419810,1512405,14
1,2,46906,12,114,339792,1695104,13
2,19,581457,85,788,1468709,2053434,12
3,31,326409,31,175,1314462,8013520,3
2,15,390082,67,382,1425345,3098917,10
3,40,360200,26,640,964426,2536680,4
3,37,470331,61,234,759375,10863841,6
2,9,220594,40,193,694561,408064,9
2,20,554630,70,590,1134830,5076760,14
3,35,322105,11,875,2093490,4877285,6
3,30,735470,30,900,1081030,5692720,1
1,4,183088,40,364,423608,3948556,11
3,34,459725,11,136,1514564,9218816,5
2,15,278047,30,630,1196055,5417347,15
3,34,571528,45,804,606084,8030890,11
2,20,313920,90,380,1651740,2244790,3
2,9,163611,13,144,746383,1546726,10
2,18,483606,90,549,1212246,6795837,6
2,18,615510,9,279,1282041,7904781,13
2,15,236602,52,337,502987,6256852,1
1,6,127386,48,72,330534,2718348,14
2,13,248163,52,32,787247,4214990,10
2,19,211821,38,104,1389802,8499726,4
3,33,487443,77,187,1509651,2340459,1
1,4,290728,32,92,368440,973516,9
2,16,212048,56,592,1000648,748264,1
2,11,388476,11,275,385440,4747006,4
3,31,480665,41,423,731930,1819999,1
2,16,352000,16,256,478352,2198256,1
3,25,187533,66,583,1487558,1604625,12
3,30,744760,10,190,1978330,4667800,13
2,11,314209,27,423,321981,4232228,14
2,9,176526,40,270,540639,362169,4
3,37,751975,12,653,1215252,3174316,1
1,3,70311,12,108,274431,1803771,14
3,28,657188,84,728,1545982,7652736,5
2,12,238074,12,300,324828,1393098,14
2,19,683344,57,218,1699075,6191948,10
3,35,268356,23,700,1806070,7493383,5
2,16,587416,48,632,1266152,2683624,3
2,18,428751,18,9,1177092,993663,11
3,32,543381,42,650,2061514,8913504,1
3,28,211129,37,634,1360380,1638084,1
2,16,518672,80,520,478832,3503632,10
3,36,745524,12,276,933660,1240836,8
3,32,668693,42,234,1429952,1773397,12
3,29,211468,96,145,1606000,2985714,8
1,3,133641,3,90,592119,1401258,12
2,16,326912,80,768,1130904,4166800,9
2,14,145138,14,315,744100,4366411,10
3,35,407306,93,758,750236,7175245,5
3,29,333297,19,628,1336136,1253989,15
2,12,217710,60,528,1042458,2873862,1
3,40,950746,66,333,2368706,1842786,13
3,33,548977,77,495,1017027,6774669,13
1,4,268952,20,176,570116,1965844,4
1,2,43326,2,134,257982,403246,11
1,2,86944,14,130,201880,1491866,12
2,15,443535,15,607,536325,4439362,5
3,30,534080,10,530,1831280,1779290,6
3,27,211518,18,756,836064,5576976,13
3,25,232433,50,725,958808,1450616,14
1,3,157911,12,222,427698,1564647,14
3,38,297603,50,392,1033562,1757094,2
3,29,199723,77,338,1559977,8286286,1
2,17,515967,59,841,1079551,4629389,2
1,6,441204,36,456,1104900,1092978,8
2,7,188086,28,199,672185,1024033,15
2,12,404094,12,108,806718,5374644,13
2,20,469640,90,190,1547600,7167590,6
2,15,333765,60,720,558825,6154230,15
3,33,469150,55,374,804606,5877619,13
2,23,273286,115,667,1093213,794696,10
2,19,226261,76,104,574721,4953300,7
3,39,965484,78,1170,2453802,9270677,1
2,9,325984,45,274,681997,3605562,15
3,35,780115,35,1108,1160985,10326388,15
1,3,223209,9,186,272799,2401209,7
2,20,461060,70,100,1651420,6660030,4
2,15,332332,45,262,552810,4761742,7
3,38,410514,12,1102,680833,2211346,1
2,21,722347,10,63,1522951,1083411,5
1,5,351075,50,380,840545,4139060,5
3,32,465802,106,256,764053,865461,5
2,24,654420,108,672,813696,3663816,2
3,26,428384,8,866,1349140,592540,7
2,8,298092,20,332,341436,263272,8
2,10,321410,30,390,660635,1497465,3
1,4,104252,16,252,243768,2595328,4
1,3,221730,30,60,374724,1482003,8
2,14,326599,21,210,1022357,4338327,12
2,22,593780,11,33,1570448,2610751,15
